iter	Logloss
140	0.4943823403
141	0.4943228279
142	0.4942991209
143	0.4942209984
144	0.4941219836
145	0.4941061891
146	0.4940695284
147	0.4940332467
148	0.4939578951
149	0.4938841477
150	0.4938384688
151	0.4937995794
152	0.4937494881
153	0.4936996805
154	0.4936576702
155	0.4936179464
156	0.4935544749
157	0.493527559
158	0.4934986679
159	0.4934760459
160	0.4934252577
161	0.4932689282
162	0.4932363375
163	0.4931983912
164	0.4930985764
165	0.4929192918
166	0.4928802952
167	0.4928558208
168	0.4928337407
169	0.4928123501
170	0.4927801705
171	0.4927376745
172	0.4927017612
173	0.4926561255
174	0.4926249561
175	0.4926001653
176	0.4925746307
177	0.4925148671
178	0.4924877519
179	0.4924688886
180	0.492444981
181	0.4923918988
182	0.4923372047
183	0.4922932014
184	0.4922675416
185	0.4922476232
186	0.4922246454
187	0.4922097457
188	0.4921762356
189	0.4921597065
190	0.492117903
191	0.4921067019
192	0.492083696
193	0.4920739214
194	0.4920383755
195	0.4919966033
196	0.4919753831
197	0.4919531219
198	0.4919139833
199	0.4918996646
200	0.4918473464
201	0.4918133486
202	0.4917874176
203	0.4917698876
204	0.4917467614
205	0.4917317169
206	0.4916949995
207	0.4916728131
208	0.4916416133
209	0.4915565373
210	0.4915161569
211	0.4914853242
212	0.4914285138
213	0.4914188214
214	0.4914066754
215	0.4913900864
216	0.4913730177
217	0.4913606333
218	0.4913293918
219	0.4913127021
220	0.4912777076
221	0.491266724
222	0.4912381351
223	0.4912239707
224	0.4911998289
225	0.4911630189
226	0.4911261344
227	0.4911126259
228	0.4911029551
229	0.4910914999
230	0.4910624086
231	0.491046551
232	0.4910139517
233	0.4909992527
234	0.4909669336
235	0.4909474963
236	0.4909335304
237	0.4909250814
238	0.4909059951
239	0.4907954031
240	0.4907853079
241	0.4907649058
242	0.4907519185
243	0.4907430278
244	0.4907205246
245	0.4906876318
246	0.490680423
247	0.4906720729
248	0.4905812549
249	0.4905638167
250	0.4905495367
251	0.4905351881
252	0.4904329307
253	0.4904138783
254	0.4903463401
255	0.4903346187
256	0.4903256164
257	0.4903090881
258	0.4903022108
259	0.4902895256
260	0.4902821623
261	0.4902694866
262	0.4902526096
263	0.4902436268
264	0.4902379478
265	0.4902129972
266	0.4902012875
267	0.4901921959
268	0.4901755188
269	0.490152465
270	0.4901417982
271	0.490132524
272	0.490121175
273	0.4901114004
274	0.4901021215
275	0.4900932629
276	0.490076593
277	0.490062353
278	0.4900411895
279	0.4900331114
280	0.4900194539
281	0.4899292491
282	0.4899167504
283	0.489902891
284	0.4898904869
285	0.4898771748
286	0.4898641189
287	0.4898589318
288	0.4898463789
289	0.4898308568
290	0.4898257568
291	0.489818735
292	0.4898078977
293	0.4898022401
294	0.4897881547
295	0.4897822853
296	0.4897752527
297	0.4897671095
298	0.4897603371
299	0.4897315929
300	0.4897234448
301	0.4897123736
302	0.4897039017
303	0.4896953072
304	0.4896866364
305	0.4896806278
306	0.4896689582
307	0.4896633662
308	0.4896536059
309	0.4896472526
310	0.4896330681
311	0.4896296064
312	0.4896231362
313	0.4896136158
314	0.4896016404
315	0.489592909
316	0.4895852285
317	0.4895708808
318	0.4895541207
319	0.4895475757
320	0.4895372529
321	0.4895315964
322	0.4895219689
323	0.489513385
324	0.4894959453
325	0.4894858417
326	0.4894754589
327	0.489471529
328	0.4894638679
329	0.4894567457
330	0.4894485719
331	0.4894414775
332	0.4894293492
333	0.4894215737
334	0.4893970337
335	0.489391528
336	0.4893844998
337	0.4893705859
338	0.4893632278
339	0.4893526758
340	0.4893414278
341	0.4893341918
342	0.4893255308
343	0.4893236492
344	0.4893145295
345	0.4892764903
346	0.4892665181
347	0.4892608801
348	0.4892487489
349	0.4891700454
350	0.4891588451
351	0.4891531028
352	0.4891488344
353	0.4891422476
354	0.489136616
355	0.4891295413
356	0.4890630496
357	0.4890533532
358	0.4890473104
359	0.4890383955
360	0.48902966
361	0.4890174583
362	0.489011313
363	0.4890091459
364	0.4889477778
365	0.4889393325
366	0.4889349837
367	0.4889261601
368	0.4889196134
369	0.4889035345
370	0.4888971267
371	0.4888896293
372	0.4888831953
373	0.4888760359
374	0.4888661235
375	0.4888592473
376	0.4888455797
377	0.48884191
378	0.4888342205
379	0.4888266251
380	0.4888215311
381	0.4888166304
382	0.4888107914
383	0.4888050189
384	0.488799562
385	0.488792478
386	0.4887872024
387	0.4887585856
388	0.4887412176
389	0.4887330582
390	0.4887276239
391	0.4886825969
392	0.488673868
393	0.4886681879
394	0.4886643077
395	0.4886620306
396	0.4886079775
397	0.4885980997
398	0.4885886469
399	0.4885822352
400	0.4885727143
401	0.4885667397
402	0.4885588871
403	0.4885526793
404	0.4885469856
405	0.4885406841
406	0.4885356605
407	0.4885315171
408	0.4885256027
409	0.4885223998
410	0.4885180253
411	0.4885128612
412	0.4885078677
413	0.4885019576
414	0.4884867431
415	0.4884801984
416	0.4884720582
417	0.4884640109
418	0.488459358
419	0.4884539146
420	0.4884485478
421	0.4884407412
422	0.4884287355
423	0.4884254509
424	0.4884103513
425	0.4884069396
426	0.488397432
427	0.4883912586
428	0.4883856525
429	0.488374907
430	0.4883704282
431	0.4883615498
432	0.4883518864
433	0.4883460307
434	0.4883403397
435	0.4883238824
436	0.4883154924
437	0.4883098944
438	0.4883043857
439	0.4882980008
440	0.4882939215
441	0.4882884529
442	0.4882698926
443	0.4882653722
444	0.4882586206
445	0.488251745
446	0.488247391
447	0.4882392992
448	0.488234395
449	0.4882314999
450	0.4882244982
451	0.4882215351
452	0.488216932
453	0.4882084402
454	0.4882052811
455	0.4882009198
456	0.4881951995
457	0.4881909343
458	0.4881870423
459	0.4881774568
460	0.4881731485
461	0.4881699495
462	0.4881651635
463	0.488159679
464	0.4881558826
465	0.4881520599
466	0.4881500689
467	0.4881459518
468	0.4881415806
469	0.4881349847
470	0.4881317359
471	0.4881260834
472	0.488121748
473	0.4881150552
474	0.4881039798
475	0.488099273
476	0.4880815316
477	0.4880754838
478	0.4880678124
479	0.4880631788
480	0.4880581948
481	0.488052916
482	0.4880316879
483	0.4880279521
484	0.4880178182
485	0.4880097517
486	0.488004516
487	0.4879986173
488	0.4879920583
489	0.4879866996
490	0.4879840269
491	0.4879784744
492	0.4879725115
493	0.4879676562
494	0.4879608354
495	0.4879512278
496	0.4879442539
497	0.4879317116
498	0.4879268568
499	0.4879245806
500	0.4879196823
501	0.4879145844
502	0.4879100659
503	0.4879066983
504	0.4879006049
505	0.4878947241
506	0.4878841583
507	0.4878741793
508	0.4878675667
509	0.4878611774
510	0.487853934
511	0.4878497582
512	0.4878446823
513	0.4878415306
514	0.487837446
515	0.4878305763
516	0.4878256047
517	0.4878175335
518	0.4878155012
519	0.4878116808
520	0.4878037455
521	0.4877979093
522	0.487791662
523	0.4877872877
524	0.4877798639
525	0.4877762843
526	0.4877650945
527	0.4877605636
528	0.4877580712
529	0.4877495029
530	0.4877438046
531	0.4877380795
532	0.4877322005
533	0.4877260044
534	0.4877158561
535	0.487708735
536	0.4877010905
537	0.4876948627
538	0.4876888747
539	0.4876837704
540	0.4876794294
541	0.4876710321
542	0.4876587344
543	0.4876525735
544	0.4876344103
545	0.4876299454
546	0.4876257875
547	0.4876197935
548	0.4876143513
549	0.4876093907
550	0.4876052866
551	0.4875986692
552	0.4875916682
553	0.4875823739
554	0.4875786819
555	0.4875722962
556	0.4875644939
557	0.4875555887
558	0.4875487021
559	0.4875445769
560	0.4875354727
561	0.4875296451
562	0.4875181888
563	0.4875121116
564	0.4875049074
565	0.4875002439
566	0.4874942588
567	0.4874876247
568	0.4874798076
569	0.4874762389
570	0.4874736833
571	0.4874632413
572	0.4874528129
573	0.487443148
574	0.4874317381
575	0.4874239082
576	0.4874138706
577	0.4874017331
578	0.4873976941
579	0.4873931984
580	0.4873836356
581	0.4873703825
582	0.48736229
583	0.4873547391
584	0.4873475247
585	0.4873330241
586	0.4873228007
587	0.487314629
588	0.4873030083
589	0.4872538284
590	0.4872471467
591	0.487240495
592	0.4872315465
593	0.4872206032
594	0.4872095166
595	0.4871766224
596	0.4871681407
597	0.4871577587
598	0.4871490747
599	0.4871404341
600	0.4871309214
601	0.48712326
602	0.4871110403
603	0.4871003501
604	0.487083917
605	0.4870772753
606	0.4870654077
607	0.487054048
608	0.487046428
609	0.4870404955
610	0.4870246048
611	0.487013973
612	0.4870009533
613	0.4869890245
614	0.4869791449
615	0.4869384398
616	0.4869270905
617	0.4869161316
618	0.4869033704
619	0.4868909619
620	0.4868838652
621	0.4868731236
622	0.4868618323
623	0.4868528288
624	0.4868448352
625	0.4868283723
626	0.4868212766
627	0.4868072864
628	0.486786736
629	0.4867772483
630	0.4867663409
631	0.4867565297
632	0.4867494606
633	0.4867401724
634	0.4867281025
635	0.486719425
636	0.486708019
637	0.4866951769
638	0.4866700363
639	0.4866567939
640	0.4866414378
641	0.4866297477
642	0.4866184213
643	0.4866094264
644	0.4865909188
645	0.4865800642
646	0.4865679712
647	0.4865531798
648	0.4865391861
649	0.4865190487
650	0.4865091818
651	0.4864996778
652	0.4864829184
653	0.486472852
654	0.4864557916
655	0.486444867
656	0.4864313457
657	0.4864170596
658	0.4863974116
659	0.4863842981
660	0.4863780232
661	0.4863607554
662	0.4863356304
663	0.4863260184
664	0.4863149821
665	0.4862961724
666	0.4862704929
667	0.4862514562
668	0.4862321587
669	0.4862165603
670	0.4861977493
671	0.4861812619
672	0.4861467612
673	0.4861346597
674	0.4861276358
675	0.4861079697
676	0.4860929399
677	0.4860755504
678	0.4860601191
679	0.4860385288
680	0.4860188779
681	0.4860077406
682	0.4859919704
683	0.4859790126
684	0.4859636695
685	0.4859468232
686	0.4859321038
687	0.4859113729
688	0.4859030507
689	0.4858873168
690	0.4858777796
691	0.4858611884
692	0.4858507972
693	0.485838722
694	0.4858206022
695	0.4858084232
696	0.4857954907
697	0.4857905872
698	0.4857840804
699	0.4857754637
700	0.4857569317
701	0.4857403575
702	0.4857339104
703	0.4857216206
704	0.4857060361
705	0.4856943949
706	0.485686898
707	0.4856753249
708	0.4856649911
709	0.4856537712
710	0.4856443017
711	0.4856396554
712	0.4856281449
713	0.485614892
714	0.4856085985
715	0.4855874872
716	0.4855770768
717	0.4855572242
718	0.4855493362
719	0.4855411591
720	0.485527739
721	0.4855165687
722	0.4855065499
723	0.4854897077
724	0.485482445
725	0.4854633761
726	0.4854554888
727	0.4854479486
728	0.485438527
729	0.4854233995
730	0.4854117359
731	0.4853957157
732	0.4853891105
733	0.4853768113
734	0.4853624212
735	0.4853521916
736	0.4853414733
737	0.4853335195
738	0.4853225583
739	0.4853159083
740	0.4853059201
741	0.4852951553
742	0.4852883261
743	0.4852775019
744	0.4852624376
745	0.4852566891
746	0.4852403864
747	0.4852232835
748	0.4852101877
749	0.4851968112
750	0.4851851338
751	0.4851783305
752	0.4851670823
753	0.4851550992
754	0.4851435987
755	0.4851350335
756	0.4851313201
757	0.4851175652
758	0.4851076867
759	0.485097606
760	0.4850845219
761	0.4850667881
762	0.4850503103
763	0.4850441632
764	0.4850408721
765	0.4850295079
766	0.4850174745
767	0.4850022033
768	0.4849930573
769	0.4849777682
770	0.4849599457
771	0.4849493065
772	0.4849164966
773	0.4849056475
774	0.4848967516
775	0.4848826643
776	0.4848783807
777	0.4848704761
778	0.4848658131
779	0.4848542741
780	0.4848510921
781	0.484847747
782	0.4848162444
783	0.4847978001
784	0.4847936963
785	0.4847908815
786	0.4847828774
787	0.4847756069
788	0.4847601585
789	0.4847470352
790	0.4847351707
791	0.4847216388
792	0.4847109485
793	0.4847033606
794	0.4846931048
795	0.4846873523
796	0.4846786745
797	0.4846706922
798	0.4846599368
799	0.4846550582
800	0.4846258785
801	0.4846123072
802	0.4845963443
803	0.48458257
804	0.4845682932
805	0.4845653051
806	0.4845594522
807	0.4845528906
808	0.4845447305
809	0.4845328359
810	0.4845229664
811	0.4845098759
812	0.4845000716
813	0.4844864164
814	0.4844811085
815	0.4844647422
816	0.4844570078
817	0.4844407723
818	0.4844307889
819	0.484413703
820	0.4844076118
821	0.4843951886
822	0.4843886728
823	0.4843778623
824	0.4843674824
825	0.4843580941
826	0.4843455851
827	0.4843376191
828	0.4843324823
829	0.4843248464
830	0.4843159827
831	0.4843083143
832	0.4842988399
833	0.4842968757
834	0.4842873006
835	0.4842750053
836	0.4842631099
837	0.4842499607
838	0.4842385874
839	0.4842265853
840	0.4842130649
841	0.4842022519
842	0.4841995432
843	0.4841951882
844	0.4841917566
845	0.4841892745
846	0.4841833009
847	0.4841758558
848	0.484171348
849	0.4841626389
850	0.4841598105
851	0.4841448486
852	0.4841430836
853	0.4841361349
854	0.484132187
855	0.4841243327
856	0.4841210523
857	0.4841092171
858	0.4840989255
859	0.4840707822
860	0.48406483
861	0.4840564446
862	0.484042779
863	0.4840409208
864	0.4840321192
865	0.4840272427
866	0.4840134508
867	0.4840059955
868	0.4839979218
869	0.4839826064
870	0.4839720676
871	0.4839674895
872	0.4839659404
873	0.4839558425
874	0.4839446215
875	0.4839429143
876	0.4839320153
877	0.4839253797
878	0.483916056
879	0.4839113654
880	0.4839024147
881	0.4838872981
882	0.4838823428
883	0.4838732851
884	0.48386623
885	0.4838563356
886	0.4838485506
887	0.4838460212
888	0.4838352634
889	0.4838312786
890	0.4838277014
891	0.4838235012
892	0.4838097628
893	0.4838018907
894	0.4837942168
895	0.4837882825
896	0.4837744019
897	0.4837629186
898	0.4837603366
899	0.4837478933
900	0.4837336267
901	0.4837246708
902	0.4837165311
903	0.4837073624
